file	line	verdict	decls	how	quote
CLPPaper/Paper.lean	34	machine-checked		none	placement buys. Every claim is machine-checked with pinned axioms, or labelled
CLPPaper/Sections/Abstraction.lean	179	REFUTED		none	REFUTED: $`\forall x.(A x \land B x) \supset P x` does not prove $`\forall x. A x \supset \bigcirc P ...
CLPPaper/Sections/CLP.lean	62	provable		none	Theorem 6.1(2), soundness steps_sound, answer_sound: Θ ⊢ c' ⊃ c ∧ G, provable
CLPPaper/Sections/Examples.lean	117	refuted		none	second; with deadline `10` both branches are refuted by Farkas certificates
CLPPaper/Sections/Introduction.lean	45	refuted		none	$`\bigcirc`-decorated variant when the head is plain) and are refuted by kernel-checked
CLPPaper/Sections/Introduction.lean	45	kernel-checked		none	$`\bigcirc`-decorated variant when the head is plain) and are refuted by kernel-checked
CLPPaper/Sections/Introduction.lean	49	proved		none	lemma and the exact effect of pruning are proved for it. A study of *where*
CLPPaper/Sections/Introduction.lean	59	proved		none	carries a proof tree checked by a checker proved sound; constraints over the
CLPPaper/Sections/Introduction.lean	79	PROVED		none	PROVED means kernel-checked, `sorry`-free, with the axiom set recorded; every
CLPPaper/Sections/Introduction.lean	79	kernel-checked		none	PROVED means kernel-checked, `sorry`-free, with the axiom set recorded; every
CLPPaper/Sections/Introduction.lean	81	REFUTED		none	status. REFUTED means a kernel-checked countermodel of the statement as
CLPPaper/Sections/Introduction.lean	81	kernel-checked		none	status. REFUTED means a kernel-checked countermodel of the statement as
CLPPaper/Sections/Introduction.lean	82	OPEN		none	written. OPEN means neither: the statement is fixed and nothing asserts it.
CLPPaper/Sections/Logic.lean	58	Proved	LaxLogic.QLL.KModel,LaxLogic.QLL.Prv.sound	near	Soundness: $`\Gamma \vdash A` implies $`\Gamma \Vdash A`. Proved without choice.
CLPPaper/Sections/Logic.lean	92	REFUTED	LaxLogic.QLL.not_prv_circ_imp	near	`s → f`. REFUTED cell for the claim that `R_m = Ri` is a free choice.
CLPPaper/Sections/Machine.lean	195	provable	LaxLogic.QLL.SLD.ExpandAt.diamond	near	Pruning is invisible to answers. For `ok` closed under provable weakening —
CLPPaper/Sections/Machine.lean	209	proved	satOK	near	the ideal test and can fail for the engine's. What is proved about
CLPPaper/Sections/Machine.lean	215	OPEN	world2_free	near	Theorem 7.5 remain OPEN.
CLPPaper/Sections/Modality.lean	31	REFUTED	LaxLogic.QLL.BodyCirc.body_circ_to_plain	near	REFUTED converse: $`(A \land B) \supset P` does not prove $`(A \land \bigcirc B) \supset P`. Two worlds
CLPPaper/Sections/Modality.lean	38	OPEN	LaxLogic.QLL.BodyCirc.not_prv_plain_to_body_circ	near	two-level program whose least-model theorem is OPEN.
CLPPaper/Sections/Modality.lean	106	REFUTED	LaxLogic.QLL.dstr_dup	near	REFUTED: $`\mathit{dup} \circ \mathit{dstr}` is not; $`((\top,\star),(\bot,\star))` comes back with first
CLPPaper/Sections/Modality.lean	231	REFUTED	LaxLogic.QLL.or_to_or_circ	near	REFUTED converse: $`P \lor \bigcirc B` does not prove $`P \lor B`; in the two-world model the
